fecha,hora,demanda
09/06/2013,22,253.676
09/06/2013,23,230.349
10/06/2013,0,205.058
10/06/2013,1,184.521
10/06/2013,2,174.731
10/06/2013,3,169.987
10/06/2013,4,169.279
10/06/2013,5,177.145
10/06/2013,6,200.14
10/06/2013,7,214.991
10/06/2013,8,211.554
10/06/2013,9,212.04
10/06/2013,10,221.282
10/06/2013,11,227.3
10/06/2013,12,223.842
10/06/2013,13,214.242
10/06/2013,14,207.531
10/06/2013,15,209.426
10/06/2013,16,221.702
10/06/2013,17,237.812
10/06/2013,18,272.419
10/06/2013,19,287.311
10/06/2013,20,287.501
10/06/2013,21,281.615
10/06/2013,22,270.752
10/06/2013,23,245.971
11/06/2013,0,213.553
11/06/2013,1,192.853
11/06/2013,2,180.082
11/06/2013,3,175.194
11/06/2013,4,173.798
11/06/2013,5,181.506
11/06/2013,6,203.369
11/06/2013,7,220.853
11/06/2013,8,210.207
11/06/2013,9,216.781
11/06/2013,10,215.937
11/06/2013,11,225.04
11/06/2013,12,219.772
11/06/2013,13,212.766
11/06/2013,14,209.824
11/06/2013,15,212.519
11/06/2013,16,223.495
11/06/2013,17,236.55
11/06/2013,18,276.911
11/06/2013,19,289.017
11/06/2013,20,290.969
11/06/2013,21,283.342
11/06/2013,22,271.377
11/06/2013,23,239.279
12/06/2013,0,210.941
12/06/2013,1,188.529
12/06/2013,2,176.116
12/06/2013,3,171.843
12/06/2013,4,170.579
12/06/2013,5,178.662
12/06/2013,6,201.374
12/06/2013,7,215.914
12/06/2013,8,211.026
12/06/2013,9,211.247
12/06/2013,10,215.536
12/06/2013,11,222.626
12/06/2013,12,224.354
12/06/2013,13,217.068
12/06/2013,14,211.552
12/06/2013,15,215.441
12/06/2013,16,229.75
12/06/2013,17,243.87
12/06/2013,18,281.664
12/06/2013,19,295.244
12/06/2013,20,292.066
12/06/2013,21,280.907
12/06/2013,22,265.363
12/06/2013,23,240.004
13/06/2013,0,209.038
13/06/2013,1,189.236
13/06/2013,2,177.505
13/06/2013,3,173.367
13/06/2013,4,172.148
13/06/2013,5,180.548
13/06/2013,6,201.895
13/06/2013,7,212.424
13/06/2013,8,209.072
13/06/2013,9,210.001
13/06/2013,10,212.678
13/06/2013,11,223.285
